2024-09-21 00:39:18 INFO     Using an existing study with name 'xgboost-study1' instead of creating a new one.
2024-09-21 00:39:18 INFO     START OPTUNA OPTIMIZATION...
2024-09-21 00:46:12 INFO     Trial 362 finished with value: 0.6733783177358443 and parameters: {'clf__max_delta_step': 35.88052649215578, 'clf__max_depth': 11, 'clf__reg_lambda': 23.00331596392099, 'clf__gamma': 23.730182285836886, 'clf__min_child_weight': 6.197789247777255, 'clf__reg_alpha': 7.235910341662542, 'clf__learning_rate': 0.057402662017973165, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:47:09 INFO     Trial 373 finished with value: 0.7043991469705537 and parameters: {'clf__max_delta_step': 42.922519890043965, 'clf__max_depth': 7, 'clf__reg_lambda': 1.870145052982884, 'clf__gamma': 34.57102415811647, 'clf__min_child_weight': 4.778884425796749, 'clf__reg_alpha': 1.4372887842261495, 'clf__learning_rate': 0.012567319305173482, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 01:53:06 INFO     Trial 374 finished with value: 0.8748540627854708 and parameters: {'clf__max_delta_step': 46.65157811655585, 'clf__max_depth': 10, 'clf__reg_lambda': 2.9336697981217097, 'clf__gamma': 36.27619665708339, 'clf__min_child_weight': 4.139910621950444, 'clf__reg_alpha': 0.6198391097146054, 'clf__learning_rate': 0.02967060982712079, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:01:28 INFO     Trial 375 finished with value: 0.6441292777575065 and parameters: {'clf__max_delta_step': 44.714888732537105, 'clf__max_depth': 11, 'clf__reg_lambda': 1.3584377804066619, 'clf__gamma': 24.575695723334935, 'clf__min_child_weight': 3.258545603314644, 'clf__reg_alpha': 14.185437889711762, 'clf__learning_rate': 0.01764000499184238, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:05:59 INFO     Trial 376 finished with value: 0.9330615391577994 and parameters: {'clf__max_delta_step': 38.29593083933054, 'clf__max_depth': 10, 'clf__reg_lambda': 2.2369342867342277, 'clf__gamma': 31.56558709469793, 'clf__min_child_weight': 5.57228319946911, 'clf__reg_alpha': 1.9951135013196384, 'clf__learning_rate': 0.0636388989568735, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:10:22 INFO     Trial 377 finished with value: 0.8461553835562526 and parameters: {'clf__max_delta_step': 38.39842324526668, 'clf__max_depth': 11, 'clf__reg_lambda': 3.296296875913271, 'clf__gamma': 35.83616407851515, 'clf__min_child_weight': 7.12907901923249, 'clf__reg_alpha': 2.2358307102800836, 'clf__learning_rate': 0.05542417916149482, 'clf__grow_policy': 'depthwise'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:15:53 INFO     Trial 378 finished with value: 0.8754519533731699 and parameters: {'clf__max_delta_step': 49.602489184287926, 'clf__max_depth': 10, 'clf__reg_lambda': 4.358118308775915, 'clf__gamma': 31.613420959319292, 'clf__min_child_weight': 5.695952987038462, 'clf__reg_alpha': 3.242532006348823, 'clf__learning_rate': 0.035869771419525916, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:20:13 INFO     Trial 379 finished with value: 0.8477915780610936 and parameters: {'clf__max_delta_step': 58.11544142755275, 'clf__max_depth': 10, 'clf__reg_lambda': 2.5056267315709246, 'clf__gamma': 34.21021582543521, 'clf__min_child_weight': 6.666969791292042, 'clf__reg_alpha': 10.264137154882633, 'clf__learning_rate': 0.06255781365343782, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:25:57 INFO     Trial 380 finished with value: 0.9299957150692246 and parameters: {'clf__max_delta_step': 47.3414677689818, 'clf__max_depth': 11, 'clf__reg_lambda': 2.187977880526147, 'clf__gamma': 25.679734412374025, 'clf__min_child_weight': 5.50644400135136, 'clf__reg_alpha': 2.686742282578965, 'clf__learning_rate': 0.043813364257887705, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:30:57 INFO     Trial 381 finished with value: 0.929337885856395 and parameters: {'clf__max_delta_step': 37.198347776873604, 'clf__max_depth': 9, 'clf__reg_lambda': 1.7590573352935324, 'clf__gamma': 23.063758219341857, 'clf__min_child_weight': 4.748201250590208, 'clf__reg_alpha': 2.033070007157468, 'clf__learning_rate': 0.06593053452726243, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:35:35 INFO     Trial 382 finished with value: 0.9285275902350794 and parameters: {'clf__max_delta_step': 41.580626932442335, 'clf__max_depth': 8, 'clf__reg_lambda': 1.3515326625886495, 'clf__gamma': 27.04544373696886, 'clf__min_child_weight': 8.274316542011594, 'clf__reg_alpha': 0.09489046986244529, 'clf__learning_rate': 0.05233423479161257, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:39:42 INFO     Trial 383 finished with value: 0.9096845438578143 and parameters: {'clf__max_delta_step': 59.197938355163316, 'clf__max_depth': 11, 'clf__reg_lambda': 3.1087895524045157, 'clf__gamma': 24.432386802681943, 'clf__min_child_weight': 10.837171901097738, 'clf__reg_alpha': 0.9268992042542821, 'clf__learning_rate': 0.07974844418322682, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:45:22 INFO     Trial 384 finished with value: 0.9189062938849453 and parameters: {'clf__max_delta_step': 35.0116275667193, 'clf__max_depth': 10, 'clf__reg_lambda': 1.3945068158849072, 'clf__gamma': 33.463622343980425, 'clf__min_child_weight': 3.707602366217139, 'clf__reg_alpha': 3.9727027627803335, 'clf__learning_rate': 0.04012065433185704, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:51:37 INFO     Trial 385 finished with value: 0.8432870193901734 and parameters: {'clf__max_delta_step': 43.81475079322958, 'clf__max_depth': 9, 'clf__reg_lambda': 5.488871734388249, 'clf__gamma': 32.11669675950503, 'clf__min_child_weight': 4.2362767162451105, 'clf__reg_alpha': 1.6292790008390319, 'clf__learning_rate': 0.02832580282335001, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 02:56:27 INFO     Trial 386 finished with value: 0.9302626945124467 and parameters: {'clf__max_delta_step': 55.51947623470947, 'clf__max_depth': 11, 'clf__reg_lambda': 2.3207979354146326, 'clf__gamma': 25.963574247499587, 'clf__min_child_weight': 5.755074694371514, 'clf__reg_alpha': 2.6168915943563844, 'clf__learning_rate': 0.06451487082093513, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:00:41 INFO     Trial 387 finished with value: 0.5775401477109939 and parameters: {'clf__max_delta_step': 41.03672910541186, 'clf__max_depth': 10, 'clf__reg_lambda': 31.050424847783447, 'clf__gamma': 27.583148360117857, 'clf__min_child_weight': 3.2015494308856187, 'clf__reg_alpha': 0.8347539612918724, 'clf__learning_rate': 0.08846911970505476, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:06:07 INFO     Trial 388 finished with value: 0.9338911709276654 and parameters: {'clf__max_delta_step': 50.00825189404882, 'clf__max_depth': 11, 'clf__reg_lambda': 0.8436452874803662, 'clf__gamma': 29.711907759103916, 'clf__min_child_weight': 4.627322438950479, 'clf__reg_alpha': 4.542942412315262, 'clf__learning_rate': 0.048135864222317234, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:11:05 INFO     Trial 389 finished with value: 0.90409694668266 and parameters: {'clf__max_delta_step': 50.04843600480943, 'clf__max_depth': 10, 'clf__reg_lambda': 0.8252243160270649, 'clf__gamma': 31.037026296089774, 'clf__min_child_weight': 6.427174536834476, 'clf__reg_alpha': 5.243884079057191, 'clf__learning_rate': 0.04963997581632119, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:16:23 INFO     Trial 390 finished with value: 0.5790580702064494 and parameters: {'clf__max_delta_step': 51.55539926371674, 'clf__max_depth': 11, 'clf__reg_lambda': 27.434687033186655, 'clf__gamma': 29.777278972551972, 'clf__min_child_weight': 4.990985674888967, 'clf__reg_alpha': 4.531053086438094, 'clf__learning_rate': 0.03887365920823655, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:21:08 INFO     Trial 391 finished with value: 0.9305228106534149 and parameters: {'clf__max_delta_step': 46.070740990791606, 'clf__max_depth': 8, 'clf__reg_lambda': 0.949066699371435, 'clf__gamma': 31.364853787846574, 'clf__min_child_weight': 5.372393283577999, 'clf__reg_alpha': 6.519530080376281, 'clf__learning_rate': 0.05466292469656076, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:25:50 INFO     Trial 392 finished with value: 0.5162656492906721 and parameters: {'clf__max_delta_step': 48.878386578091465, 'clf__max_depth': 10, 'clf__reg_lambda': 36.51747942971484, 'clf__gamma': 45.125839347936854, 'clf__min_child_weight': 4.490843276233158, 'clf__reg_alpha': 3.926942284756872, 'clf__learning_rate': 0.034719635390118034, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:34:01 INFO     Trial 393 finished with value: 0.9274359614294836 and parameters: {'clf__max_delta_step': 53.89995305675431, 'clf__max_depth': 10, 'clf__reg_lambda': 1.5676329274137377, 'clf__gamma': 23.681513663500393, 'clf__min_child_weight': 3.9999648867917736, 'clf__reg_alpha': 5.889557509260874, 'clf__learning_rate': 0.023696787795749387, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:39:16 INFO     Trial 394 finished with value: 0.9284241652046397 and parameters: {'clf__max_delta_step': 47.2274544918561, 'clf__max_depth': 11, 'clf__reg_lambda': 0.8282310143039628, 'clf__gamma': 25.014222558063224, 'clf__min_child_weight': 3.09662666738412, 'clf__reg_alpha': 7.369075839991872, 'clf__learning_rate': 0.07155815679404469, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:43:30 INFO     Trial 395 finished with value: 0.9169526770146776 and parameters: {'clf__max_delta_step': 51.34180450738194, 'clf__max_depth': 3, 'clf__reg_lambda': 0.6722175266974308, 'clf__gamma': 22.12556973471229, 'clf__min_child_weight': 6.481860087595682, 'clf__reg_alpha': 4.767189717094662, 'clf__learning_rate': 0.04321461339551558, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:48:43 INFO     Trial 396 finished with value: 0.9296300992528261 and parameters: {'clf__max_delta_step': 44.076774238162706, 'clf__max_depth': 9, 'clf__reg_lambda': 1.7929457978911176, 'clf__gamma': 29.61651269921181, 'clf__min_child_weight': 2.7397956043134886, 'clf__reg_alpha': 3.435129233083998, 'clf__learning_rate': 0.058052513026348396, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 03:53:02 INFO     Trial 397 finished with value: 0.758375616817559 and parameters: {'clf__max_delta_step': 38.08185527100052, 'clf__max_depth': 9, 'clf__reg_lambda': 12.72319879441065, 'clf__gamma': 26.480459859580836, 'clf__min_child_weight': 4.387100119177102, 'clf__reg_alpha': 8.348937777060176, 'clf__learning_rate': 0.08428105423711169, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:02:27 INFO     Trial 398 finished with value: 0.8906746575741895 and parameters: {'clf__max_delta_step': 48.80519528937924, 'clf__max_depth': 11, 'clf__reg_lambda': 0.01125657875487852, 'clf__gamma': 32.33708445559384, 'clf__min_child_weight': 2.523365506363617, 'clf__reg_alpha': 4.712791984062291, 'clf__learning_rate': 0.015387692182786959, 'clf__grow_policy': 'depthwise'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:10:39 INFO     Trial 399 finished with value: 0.13428841053168286 and parameters: {'clf__max_delta_step': 56.70808303273511, 'clf__max_depth': 12, 'clf__reg_lambda': 1.3590657401219972, 'clf__gamma': 30.475514276684766, 'clf__min_child_weight': 5.561691124643721, 'clf__reg_alpha': 6.147589467711737, 'clf__learning_rate': 0.009197225073553812, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:15:31 INFO     Trial 400 finished with value: 0.8034230645129499 and parameters: {'clf__max_delta_step': 46.064280918539446, 'clf__max_depth': 10, 'clf__reg_lambda': 2.246661023772319, 'clf__gamma': 28.161230867520523, 'clf__min_child_weight': 20.57901199755912, 'clf__reg_alpha': 3.7971227327007266, 'clf__learning_rate': 0.031067318409018402, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:20:28 INFO     Trial 401 finished with value: 0.9163990880827388 and parameters: {'clf__max_delta_step': 64.37750441194075, 'clf__max_depth': 11, 'clf__reg_lambda': 0.9884369155424226, 'clf__gamma': 27.22375044367215, 'clf__min_child_weight': 3.5758835828966666, 'clf__reg_alpha': 6.975943771438166, 'clf__learning_rate': 0.0720927160633091, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:27:33 INFO     Trial 402 finished with value: 0.9311860986933262 and parameters: {'clf__max_delta_step': 41.736340098869455, 'clf__max_depth': 12, 'clf__reg_lambda': 0.0006858626184881311, 'clf__gamma': 25.119656895660725, 'clf__min_child_weight': 2.243529440162087, 'clf__reg_alpha': 5.463551502676836, 'clf__learning_rate': 0.04632907106682889, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:33:55 INFO     Trial 403 finished with value: 0.9337536776020958 and parameters: {'clf__max_delta_step': 41.380406054392616, 'clf__max_depth': 12, 'clf__reg_lambda': 0.5180018294326828, 'clf__gamma': 29.805559939086468, 'clf__min_child_weight': 2.2965775351274686, 'clf__reg_alpha': 0.08942593179818775, 'clf__learning_rate': 0.04414512447453163, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:42:02 INFO     Trial 404 finished with value: 0.9313745898767662 and parameters: {'clf__max_delta_step': 39.924652569426804, 'clf__max_depth': 10, 'clf__reg_lambda': 0.7132637943621766, 'clf__gamma': 31.12743313800648, 'clf__min_child_weight': 1.8016665550411473, 'clf__reg_alpha': 0.3963154005251953, 'clf__learning_rate': 0.02684513184591454, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:49:39 INFO     Trial 405 finished with value: 0.9266247665184333 and parameters: {'clf__max_delta_step': 39.98267975390568, 'clf__max_depth': 10, 'clf__reg_lambda': 0.7727741522351845, 'clf__gamma': 31.539487681210797, 'clf__min_child_weight': 4.390117047144169, 'clf__reg_alpha': 0.2519691741352057, 'clf__learning_rate': 0.018550333976383667, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 04:57:22 INFO     Trial 406 finished with value: 0.9275959412439061 and parameters: {'clf__max_delta_step': 38.677355509263734, 'clf__max_depth': 10, 'clf__reg_lambda': 1.4715700741848523, 'clf__gamma': 30.766291528866283, 'clf__min_child_weight': 3.333304357602516, 'clf__reg_alpha': 0.6797947528192309, 'clf__learning_rate': 0.022116133766099937, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:05:37 INFO     Trial 407 finished with value: 0.9288613488258097 and parameters: {'clf__max_delta_step': 43.2950815033906, 'clf__max_depth': 10, 'clf__reg_lambda': 0.7409203196227723, 'clf__gamma': 29.369259221791015, 'clf__min_child_weight': 2.1102490472703797, 'clf__reg_alpha': 0.20207099580001692, 'clf__learning_rate': 0.025825392118573993, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:11:48 INFO     Trial 408 finished with value: 0.9301755294140579 and parameters: {'clf__max_delta_step': 41.1313493035037, 'clf__max_depth': 10, 'clf__reg_lambda': 1.4445424099261173, 'clf__gamma': 32.255931695854144, 'clf__min_child_weight': 5.376166871035177, 'clf__reg_alpha': 1.3759339651736977, 'clf__learning_rate': 0.029159514116753722, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:17:15 INFO     Trial 409 finished with value: 0.9012320922160055 and parameters: {'clf__max_delta_step': 39.76578012709749, 'clf__max_depth': 10, 'clf__reg_lambda': 0.7826886624855882, 'clf__gamma': 33.489549497069376, 'clf__min_child_weight': 7.243264883797041, 'clf__reg_alpha': 0.7117310335392454, 'clf__learning_rate': 0.032499083655038494, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:25:35 INFO     Trial 410 finished with value: 0.9011742929535376 and parameters: {'clf__max_delta_step': 43.40486613991773, 'clf__max_depth': 9, 'clf__reg_lambda': 0.01793031307373627, 'clf__gamma': 30.3950691915623, 'clf__min_child_weight': 3.6412790741901033, 'clf__reg_alpha': 1.1330551649569347, 'clf__learning_rate': 0.012581493221658411, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:32:07 INFO     Trial 411 finished with value: 0.9319873333398478 and parameters: {'clf__max_delta_step': 37.76222719029793, 'clf__max_depth': 10, 'clf__reg_lambda': 1.8669637878028527, 'clf__gamma': 29.92931098415956, 'clf__min_child_weight': 2.4957297617373584, 'clf__reg_alpha': 1.9044596025835905, 'clf__learning_rate': 0.03760506800196211, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:38:30 INFO     Trial 412 finished with value: 0.9171244899386569 and parameters: {'clf__max_delta_step': 37.353268647322004, 'clf__max_depth': 10, 'clf__reg_lambda': 2.8064469951387765, 'clf__gamma': 31.240378620982472, 'clf__min_child_weight': 2.039048992663376, 'clf__reg_alpha': 1.7081533384833008, 'clf__learning_rate': 0.039247302842021166, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:44:48 INFO     Trial 413 finished with value: 0.9030555685169779 and parameters: {'clf__max_delta_step': 99.16954745657418, 'clf__max_depth': 11, 'clf__reg_lambda': 3.4816920691496023, 'clf__gamma': 29.607825766133864, 'clf__min_child_weight': 2.6195654670089477, 'clf__reg_alpha': 0.48171708077778674, 'clf__learning_rate': 0.038513407902504244, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:50:48 INFO     Trial 414 finished with value: 0.9320532149645709 and parameters: {'clf__max_delta_step': 36.49618171332102, 'clf__max_depth': 10, 'clf__reg_lambda': 2.104578050227513, 'clf__gamma': 30.103328639857363, 'clf__min_child_weight': 1.8285571406098309, 'clf__reg_alpha': 2.645216020315186, 'clf__learning_rate': 0.04917096117027188, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 05:56:46 INFO     Trial 415 finished with value: 0.5660994190782527 and parameters: {'clf__max_delta_step': 36.089837877699345, 'clf__max_depth': 10, 'clf__reg_lambda': 32.557782373508715, 'clf__gamma': 29.771080339361674, 'clf__min_child_weight': 2.869849505417952, 'clf__reg_alpha': 2.5192921946836906, 'clf__learning_rate': 0.03450475429825314, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:02:49 INFO     Trial 416 finished with value: 0.9192968841843892 and parameters: {'clf__max_delta_step': 36.51948320284369, 'clf__max_depth': 10, 'clf__reg_lambda': 2.6261379611743143, 'clf__gamma': 31.496472054584213, 'clf__min_child_weight': 1.9137581451638523, 'clf__reg_alpha': 2.473207061539096, 'clf__learning_rate': 0.04450140020240864, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:10:20 INFO     Trial 417 finished with value: 0.9278823211953892 and parameters: {'clf__max_delta_step': 38.95494232171152, 'clf__max_depth': 10, 'clf__reg_lambda': 2.0828923011087, 'clf__gamma': 28.8279977184977, 'clf__min_child_weight': 3.3430540315036943, 'clf__reg_alpha': 3.2949561167276507, 'clf__learning_rate': 0.02657632370302006, 'clf__grow_policy': 'depthwise'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:16:05 INFO     Trial 418 finished with value: 0.9046989520464124 and parameters: {'clf__max_delta_step': 34.76790614891713, 'clf__max_depth': 10, 'clf__reg_lambda': 3.9848302077807447, 'clf__gamma': 29.854556372652436, 'clf__min_child_weight': 1.9317204725669266, 'clf__reg_alpha': 0.12562323638889028, 'clf__learning_rate': 0.048705587755256026, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:22:04 INFO     Trial 419 finished with value: 0.9032799132132013 and parameters: {'clf__max_delta_step': 41.49168777182808, 'clf__max_depth': 10, 'clf__reg_lambda': 3.0985511848984775, 'clf__gamma': 30.36238246842766, 'clf__min_child_weight': 3.905583479904514, 'clf__reg_alpha': 1.9081414008527173, 'clf__learning_rate': 0.03665413284461171, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:27:19 INFO     Trial 420 finished with value: 0.9348935770359541 and parameters: {'clf__max_delta_step': 77.04570729448979, 'clf__max_depth': 11, 'clf__reg_lambda': 1.933892076455879, 'clf__gamma': 32.85667956252942, 'clf__min_child_weight': 2.9038694206837596, 'clf__reg_alpha': 2.5966114489902807, 'clf__learning_rate': 0.0538957149002198, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:32:12 INFO     Trial 421 finished with value: 0.8907473769695647 and parameters: {'clf__max_delta_step': 38.13900499930967, 'clf__max_depth': 11, 'clf__reg_lambda': 2.216031129699689, 'clf__gamma': 34.28813499417306, 'clf__min_child_weight': 4.654838527437679, 'clf__reg_alpha': 3.425611511177987, 'clf__learning_rate': 0.051642035092889456, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:38:54 INFO     Trial 422 finished with value: 0.8888124305797275 and parameters: {'clf__max_delta_step': 36.24789954558072, 'clf__max_depth': 11, 'clf__reg_lambda': 1.8511650207088315, 'clf__gamma': 33.81808100626584, 'clf__min_child_weight': 2.905454290047495, 'clf__reg_alpha': 2.8132168273093754, 'clf__learning_rate': 0.03094844452287108, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
